"Time","A4261161","X"
"and","Level (m)",""
"Date","Mean","Qual"
09:00:00 02/06/2015,0.633,1
09:00:00 03/06/2015,0.628,1
09:00:00 04/06/2015,0.596,1
09:00:00 05/06/2015,0.684,1
09:00:00 06/06/2015,0.644,1
09:00:00 07/06/2015,0.608,1
09:00:00 08/06/2015,0.622,1
09:00:00 09/06/2015,0.658,1
09:00:00 10/06/2015,0.671,1
09:00:00 11/06/2015,0.646,1
09:00:00 12/06/2015,0.646,1
09:00:00 13/06/2015,0.63,1
09:00:00 14/06/2015,0.628,1
09:00:00 15/06/2015,0.639,1
09:00:00 16/06/2015,0.655,1
09:00:00 17/06/2015,0.661,1
09:00:00 18/06/2015,0.683,1
09:00:00 19/06/2015,0.714,1
09:00:00 20/06/2015,0.665,1
09:00:00 21/06/2015,0.654,1
09:00:00 22/06/2015,0.569,1
09:00:00 23/06/2015,0.556,1
09:00:00 24/06/2015,0.657,1
09:00:00 25/06/2015,0.704,1
09:00:00 26/06/2015,0.671,1
09:00:00 27/06/2015,0.658,1
09:00:00 28/06/2015,0.662,1
09:00:00 29/06/2015,0.662,1
09:00:00 30/06/2015,0.672,1
09:00:00 01/07/2015,0.676,1
09:00:00 02/07/2015,0.673,1
09:00:00 03/07/2015,0.688,1
09:00:00 04/07/2015,0.665,1
09:00:00 05/07/2015,0.67,1
09:00:00 06/07/2015,0.669,1
09:00:00 07/07/2015,0.696,1
09:00:00 08/07/2015,0.699,1
09:00:00 09/07/2015,0.687,1
09:00:00 10/07/2015,0.667,1
09:00:00 11/07/2015,0.688,1
09:00:00 12/07/2015,0.908,1
09:00:00 13/07/2015,0.919,1
09:00:00 14/07/2015,0.803,1
09:00:00 15/07/2015,0.842,1
09:00:00 16/07/2015,0.818,1
09:00:00 17/07/2015,0.81,1
09:00:00 18/07/2015,0.813,1
09:00:00 19/07/2015,0.777,1
09:00:00 20/07/2015,0.766,1
09:00:00 21/07/2015,0.736,1
09:00:00 22/07/2015,0.696,1
09:00:00 23/07/2015,0.762,1
09:00:00 24/07/2015,0.74,1
09:00:00 25/07/2015,0.784,1
09:00:00 26/07/2015,0.8,1
09:00:00 27/07/2015,0.874,1
09:00:00 28/07/2015,0.791,1
09:00:00 29/07/2015,0.765,1
09:00:00 30/07/2015,0.718,1
09:00:00 31/07/2015,0.754,1
09:00:00 01/08/2015,0.738,1
09:00:00 02/08/2015,0.783,1
09:00:00 03/08/2015,0.835,1
09:00:00 04/08/2015,0.835,1
09:00:00 05/08/2015,0.829,1
09:00:00 06/08/2015,0.879,1
09:00:00 07/08/2015,0.821,1
09:00:00 08/08/2015,0.781,1
09:00:00 09/08/2015,0.727,1
09:00:00 10/08/2015,0.691,1
09:00:00 11/08/2015,0.764,1
09:00:00 12/08/2015,0.718,1
09:00:00 13/08/2015,0.849,1
09:00:00 14/08/2015,0.771,1
09:00:00 15/08/2015,0.774,1
09:00:00 16/08/2015,0.77,1
09:00:00 17/08/2015,0.782,1
09:00:00 18/08/2015,0.819,1
09:00:00 19/08/2015,0.757,1
09:00:00 20/08/2015,0.722,1
09:00:00 21/08/2015,0.71,1
09:00:00 22/08/2015,0.782,1
09:00:00 23/08/2015,0.791,1
09:00:00 24/08/2015,0.785,1
09:00:00 25/08/2015,0.83,1
09:00:00 26/08/2015,0.806,1
09:00:00 27/08/2015,0.775,1
09:00:00 28/08/2015,0.79,1
09:00:00 29/08/2015,0.765,1
09:00:00 30/08/2015,0.749,1
09:00:00 31/08/2015,0.745,1
09:00:00 01/09/2015,0.739,1
09:00:00 02/09/2015,0.719,1
09:00:00 03/09/2015,0.752,1
09:00:00 04/09/2015,0.84,1
09:00:00 05/09/2015,0.786,1
09:00:00 06/09/2015,0.763,1
09:00:00 07/09/2015,0.847,1
09:00:00 08/09/2015,0.854,1
09:00:00 09/09/2015,0.866,1
09:00:00 10/09/2015,0.821,1
09:00:00 11/09/2015,0.773,1
09:00:00 12/09/2015,0.762,1
09:00:00 13/09/2015,0.778,1
09:00:00 14/09/2015,0.741,1
09:00:00 15/09/2015,0.836,1
09:00:00 16/09/2015,0.793,1
09:00:00 17/09/2015,0.781,1
09:00:00 18/09/2015,0.82,1
09:00:00 19/09/2015,0.783,1
09:00:00 20/09/2015,0.768,1
09:00:00 21/09/2015,0.827,1
09:00:00 22/09/2015,0.897,1
09:00:00 23/09/2015,0.829,1
09:00:00 24/09/2015,0.827,1
09:00:00 25/09/2015,0.811,1
09:00:00 26/09/2015,0.817,1
09:00:00 27/09/2015,0.791,1
09:00:00 28/09/2015,0.802,1
09:00:00 29/09/2015,0.85,1
09:00:00 30/09/2015,0.826,1
09:00:00 01/10/2015,0.802,1
09:00:00 02/10/2015,0.828,1
09:00:00 03/10/2015,0.784,1
09:00:00 04/10/2015,0.787,1
09:00:00 05/10/2015,0.806,1
09:00:00 06/10/2015,0.758,1
09:00:00 07/10/2015,0.898,1
09:00:00 08/10/2015,0.819,1
09:00:00 09/10/2015,0.808,1
09:00:00 10/10/2015,0.809,1
09:00:00 11/10/2015,0.825,1
09:00:00 12/10/2015,0.883,1
09:00:00 13/10/2015,0.85,1
09:00:00 14/10/2015,0.837,1
09:00:00 15/10/2015,0.788,1
09:00:00 16/10/2015,0.819,1
09:00:00 17/10/2015,0.845,1
09:00:00 18/10/2015,0.857,1
09:00:00 19/10/2015,0.822,1
09:00:00 20/10/2015,0.796,1
09:00:00 21/10/2015,0.86,1
09:00:00 22/10/2015,0.914,1
09:00:00 23/10/2015,0.877,1
09:00:00 24/10/2015,0.835,1
09:00:00 25/10/2015,0.79,1
09:00:00 26/10/2015,0.931,1
09:00:00 27/10/2015,0.891,1
09:00:00 28/10/2015,0.849,1
09:00:00 29/10/2015,0.862,1
09:00:00 30/10/2015,0.857,1
09:00:00 31/10/2015,0.857,1
09:00:00 01/11/2015,0.861,1
09:00:00 02/11/2015,0.873,1
09:00:00 03/11/2015,0.848,1
09:00:00 04/11/2015,0.795,1
09:00:00 05/11/2015,0.845,1
09:00:00 06/11/2015,0.966,1
09:00:00 07/11/2015,0.921,1
09:00:00 08/11/2015,0.878,1
09:00:00 09/11/2015,0.859,1
09:00:00 10/11/2015,0.897,1
09:00:00 11/11/2015,0.914,1
09:00:00 12/11/2015,0.896,1
09:00:00 13/11/2015,0.962,1
09:00:00 14/11/2015,0.951,1
09:00:00 15/11/2015,0.911,1
09:00:00 16/11/2015,0.894,1
09:00:00 17/11/2015,0.84,1
09:00:00 18/11/2015,0.842,1
09:00:00 19/11/2015,0.835,1
09:00:00 20/11/2015,0.895,1
09:00:00 21/11/2015,0.927,1
09:00:00 22/11/2015,0.88,1
09:00:00 23/11/2015,0.876,1
09:00:00 24/11/2015,0.859,1
09:00:00 25/11/2015,0.8,1
09:00:00 26/11/2015,0.9,1
09:00:00 27/11/2015,0.914,1
09:00:00 28/11/2015,0.819,1
09:00:00 29/11/2015,0.812,1
09:00:00 30/11/2015,0.787,1
09:00:00 01/12/2015,0.838,1
09:00:00 02/12/2015,0.899,1
09:00:00 03/12/2015,0.795,1
09:00:00 04/12/2015,0.769,1
09:00:00 05/12/2015,0.763,1
09:00:00 06/12/2015,0.767,1
09:00:00 07/12/2015,0.768,1
09:00:00 08/12/2015,0.772,1
09:00:00 09/12/2015,0.819,1
09:00:00 10/12/2015,0.782,1
09:00:00 11/12/2015,0.797,1
09:00:00 12/12/2015,0.838,1
09:00:00 13/12/2015,0.738,1
09:00:00 14/12/2015,0.74,1
09:00:00 15/12/2015,0.759,1
09:00:00 16/12/2015,0.722,1
09:00:00 17/12/2015,0.737,1
09:00:00 18/12/2015,0.742,1
09:00:00 19/12/2015,0.761,1
09:00:00 20/12/2015,0.701,1
09:00:00 21/12/2015,0.829,1
09:00:00 22/12/2015,0.73,1
09:00:00 23/12/2015,0.751,1
09:00:00 24/12/2015,0.733,1
09:00:00 25/12/2015,0.666,1
09:00:00 26/12/2015,0.746,1
09:00:00 27/12/2015,0.786,1
09:00:00 28/12/2015,0.714,1
09:00:00 29/12/2015,0.699,1
09:00:00 30/12/2015,0.675,1
09:00:00 31/12/2015,0.637,1
09:00:00 01/01/2016,0.687,1
09:00:00 02/01/2016,0.762,1
09:00:00 03/01/2016,0.744,1
09:00:00 04/01/2016,0.721,1
09:00:00 05/01/2016,0.692,1
09:00:00 06/01/2016,0.671,1
09:00:00 07/01/2016,0.717,1
09:00:00 08/01/2016,0.696,1
09:00:00 09/01/2016,0.664,1
09:00:00 10/01/2016,0.645,1
09:00:00 11/01/2016,0.601,1
09:00:00 12/01/2016,0.636,1
09:00:00 13/01/2016,0.622,1
09:00:00 14/01/2016,0.678,1
09:00:00 15/01/2016,0.697,1
09:00:00 16/01/2016,0.65,1
09:00:00 17/01/2016,0.619,1
09:00:00 18/01/2016,0.59,1
09:00:00 19/01/2016,0.622,1
09:00:00 20/01/2016,0.558,1
09:00:00 21/01/2016,0.625,1
09:00:00 22/01/2016,0.58,1
09:00:00 23/01/2016,0.636,1
09:00:00 24/01/2016,0.647,1
09:00:00 25/01/2016,0.632,1
09:00:00 26/01/2016,0.636,1
09:00:00 27/01/2016,0.608,1
09:00:00 28/01/2016,0.669,1
09:00:00 29/01/2016,0.677,1
09:00:00 30/01/2016,0.586,1
09:00:00 31/01/2016,0.633,1
09:00:00 01/02/2016,0.648,1
09:00:00 02/02/2016,0.57,1
09:00:00 03/02/2016,0.653,1
09:00:00 04/02/2016,0.732,1
09:00:00 05/02/2016,0.716,1
09:00:00 06/02/2016,0.68,1
09:00:00 07/02/2016,0.675,1
09:00:00 08/02/2016,0.704,1
09:00:00 09/02/2016,0.68,1
09:00:00 10/02/2016,0.649,1
09:00:00 11/02/2016,0.667,1
09:00:00 12/02/2016,0.664,1
09:00:00 13/02/2016,0.623,1
09:00:00 14/02/2016,0.67,1
09:00:00 15/02/2016,0.65,1
09:00:00 16/02/2016,0.673,1
09:00:00 17/02/2016,0.667,1
09:00:00 18/02/2016,0.644,1
09:00:00 19/02/2016,0.637,1
09:00:00 20/02/2016,0.645,1
09:00:00 21/02/2016,0.634,1
09:00:00 22/02/2016,0.597,1
09:00:00 23/02/2016,0.617,1
09:00:00 24/02/2016,0.619,1
09:00:00 25/02/2016,0.622,1
09:00:00 26/02/2016,0.688,1
09:00:00 27/02/2016,0.646,1
09:00:00 28/02/2016,0.638,1
09:00:00 29/02/2016,0.636,1
09:00:00 01/03/2016,0.617,1
09:00:00 02/03/2016,0.598,1
09:00:00 03/03/2016,0.661,1
09:00:00 04/03/2016,0.645,1
09:00:00 05/03/2016,0.644,1
09:00:00 06/03/2016,0.624,1
09:00:00 07/03/2016,0.658,1
09:00:00 08/03/2016,0.644,1
09:00:00 09/03/2016,0.616,1
09:00:00 10/03/2016,0.592,1
09:00:00 11/03/2016,0.597,1
09:00:00 12/03/2016,0.608,1
09:00:00 13/03/2016,0.627,1
09:00:00 14/03/2016,0.629,1
09:00:00 15/03/2016,0.632,1
