"Time","A4260515","X"
"and","Level (m)",""
"Date","Mean","Qual"
09:00:00 02/06/2015,10.203,1
09:00:00 03/06/2015,10.202,1
09:00:00 04/06/2015,10.196,1
09:00:00 05/06/2015,10.113,1
09:00:00 06/06/2015,10.076,1
09:00:00 07/06/2015,10.086,1
09:00:00 08/06/2015,10.086,1
09:00:00 09/06/2015,10.091,1
09:00:00 10/06/2015,10.096,1
09:00:00 11/06/2015,10.1,1
09:00:00 12/06/2015,10.093,1
09:00:00 13/06/2015,10.092,1
09:00:00 14/06/2015,10.088,1
09:00:00 15/06/2015,10.089,1
09:00:00 16/06/2015,10.113,1
09:00:00 17/06/2015,10.121,1
09:00:00 18/06/2015,10.114,1
09:00:00 19/06/2015,10.088,1
09:00:00 20/06/2015,10.077,1
09:00:00 21/06/2015,10.066,1
09:00:00 22/06/2015,10.066,1
09:00:00 23/06/2015,10.063,1
09:00:00 24/06/2015,10.043,1
09:00:00 25/06/2015,10.042,1
09:00:00 26/06/2015,10.041,1
09:00:00 27/06/2015,10.046,1
09:00:00 28/06/2015,10.039,1
09:00:00 29/06/2015,10.034,1
09:00:00 30/06/2015,10.031,1
09:00:00 01/07/2015,10.028,1
09:00:00 02/07/2015,10.063,1
09:00:00 03/07/2015,10.507,1
09:00:00 04/07/2015,10.639,1
09:00:00 05/07/2015,10.623,1
09:00:00 06/07/2015,10.601,1
09:00:00 07/07/2015,10.664,1
09:00:00 08/07/2015,10.714,1
09:00:00 09/07/2015,10.755,1
09:00:00 10/07/2015,10.844,1
09:00:00 11/07/2015,10.874,1
09:00:00 12/07/2015,10.864,1
09:00:00 13/07/2015,10.87,1
09:00:00 14/07/2015,10.891,1
09:00:00 15/07/2015,10.907,1
09:00:00 16/07/2015,10.903,1
09:00:00 17/07/2015,10.869,1
09:00:00 18/07/2015,10.743,1
09:00:00 19/07/2015,10.701,1
09:00:00 20/07/2015,10.662,1
09:00:00 21/07/2015,10.657,1
09:00:00 22/07/2015,10.629,1
09:00:00 23/07/2015,10.615,1
09:00:00 24/07/2015,10.496,1
09:00:00 25/07/2015,10.435,1
09:00:00 26/07/2015,10.417,1
09:00:00 27/07/2015,10.402,1
09:00:00 28/07/2015,10.406,1
09:00:00 29/07/2015,10.414,1
09:00:00 30/07/2015,10.522,1
09:00:00 31/07/2015,10.659,1
09:00:00 01/08/2015,10.712,1
09:00:00 02/08/2015,10.732,1
09:00:00 03/08/2015,10.735,1
09:00:00 04/08/2015,10.736,1
09:00:00 05/08/2015,10.718,1
09:00:00 06/08/2015,10.694,1
09:00:00 07/08/2015,10.697,1
09:00:00 08/08/2015,10.71,1
09:00:00 09/08/2015,10.722,1
09:00:00 10/08/2015,10.713,1
09:00:00 11/08/2015,10.681,1
09:00:00 12/08/2015,10.688,1
09:00:00 13/08/2015,10.658,1
09:00:00 14/08/2015,10.676,1
09:00:00 15/08/2015,10.692,1
09:00:00 16/08/2015,10.71,1
09:00:00 17/08/2015,10.721,1
09:00:00 18/08/2015,10.726,1
09:00:00 19/08/2015,10.696,1
09:00:00 20/08/2015,10.659,1
09:00:00 21/08/2015,10.579,1
09:00:00 22/08/2015,10.502,1
09:00:00 23/08/2015,10.47,1
09:00:00 24/08/2015,10.441,1
09:00:00 25/08/2015,10.367,1
09:00:00 26/08/2015,10.391,1
09:00:00 27/08/2015,10.415,1
09:00:00 28/08/2015,10.42,1
09:00:00 29/08/2015,10.435,1
09:00:00 30/08/2015,10.446,1
09:00:00 31/08/2015,10.466,1
09:00:00 01/09/2015,10.487,1
09:00:00 02/09/2015,10.62,1
09:00:00 03/09/2015,10.732,1
09:00:00 04/09/2015,10.768,1
09:00:00 05/09/2015,10.677,1
09:00:00 06/09/2015,10.641,1
09:00:00 07/09/2015,10.626,1
09:00:00 08/09/2015,10.612,1
09:00:00 09/09/2015,10.602,1
09:00:00 10/09/2015,10.648,1
09:00:00 11/09/2015,10.651,1
09:00:00 12/09/2015,10.624,1
09:00:00 13/09/2015,10.581,1
09:00:00 14/09/2015,10.559,1
09:00:00 15/09/2015,10.599,1
09:00:00 16/09/2015,10.643,1
09:00:00 17/09/2015,10.673,1
09:00:00 18/09/2015,10.777,1
09:00:00 19/09/2015,10.911,1
09:00:00 20/09/2015,10.93,1
09:00:00 21/09/2015,10.934,1
09:00:00 22/09/2015,10.935,1
09:00:00 23/09/2015,10.941,1
09:00:00 24/09/2015,10.916,1
09:00:00 25/09/2015,10.867,1
09:00:00 26/09/2015,10.874,1
09:00:00 27/09/2015,10.877,1
09:00:00 28/09/2015,10.887,1
09:00:00 29/09/2015,10.872,1
09:00:00 30/09/2015,10.85,1
09:00:00 01/10/2015,10.82,1
09:00:00 02/10/2015,10.84,1
09:00:00 03/10/2015,10.875,1
09:00:00 04/10/2015,10.892,1
09:00:00 05/10/2015,10.897,1
09:00:00 06/10/2015,10.914,1
09:00:00 07/10/2015,10.879,1
09:00:00 08/10/2015,10.907,1
09:00:00 09/10/2015,10.936,1
09:00:00 10/10/2015,10.987,1
09:00:00 11/10/2015,10.964,1
09:00:00 12/10/2015,10.949,1
09:00:00 13/10/2015,10.95,1
09:00:00 14/10/2015,10.916,1
09:00:00 15/10/2015,10.923,1
09:00:00 16/10/2015,10.859,1
09:00:00 17/10/2015,10.83,1
09:00:00 18/10/2015,10.843,1
09:00:00 19/10/2015,10.852,1
09:00:00 20/10/2015,10.846,1
09:00:00 21/10/2015,10.849,1
09:00:00 22/10/2015,10.843,1
09:00:00 23/10/2015,10.948,1
09:00:00 24/10/2015,10.977,1
09:00:00 25/10/2015,10.987,1
09:00:00 26/10/2015,10.973,1
09:00:00 27/10/2015,10.999,1
09:00:00 28/10/2015,11.043,1
09:00:00 29/10/2015,11.062,1
09:00:00 30/10/2015,10.986,1
09:00:00 31/10/2015,10.962,1
09:00:00 01/11/2015,10.958,1
09:00:00 02/11/2015,10.951,1
09:00:00 03/11/2015,10.951,1
09:00:00 04/11/2015,10.893,1
09:00:00 05/11/2015,10.941,1
09:00:00 06/11/2015,10.969,1
09:00:00 07/11/2015,10.908,1
09:00:00 08/11/2015,10.83,1
09:00:00 09/11/2015,10.763,1
09:00:00 10/11/2015,10.654,1
09:00:00 11/11/2015,10.508,1
09:00:00 12/11/2015,10.469,1
09:00:00 13/11/2015,10.488,1
09:00:00 14/11/2015,10.496,1
09:00:00 15/11/2015,10.501,1
09:00:00 16/11/2015,10.502,1
09:00:00 17/11/2015,10.522,1
09:00:00 18/11/2015,10.554,1
09:00:00 19/11/2015,10.562,1
09:00:00 20/11/2015,10.554,1
09:00:00 21/11/2015,10.47,1
09:00:00 22/11/2015,10.44,1
09:00:00 23/11/2015,10.403,1
09:00:00 24/11/2015,10.344,1
09:00:00 25/11/2015,10.37,1
09:00:00 26/11/2015,10.376,1
09:00:00 27/11/2015,10.354,1
09:00:00 28/11/2015,10.366,1
09:00:00 29/11/2015,10.345,1
09:00:00 30/11/2015,10.344,1
09:00:00 01/12/2015,10.359,1
09:00:00 02/12/2015,10.332,1
09:00:00 03/12/2015,10.365,1
09:00:00 04/12/2015,10.403,1
09:00:00 05/12/2015,10.425,1
09:00:00 06/12/2015,10.42,1
09:00:00 07/12/2015,10.394,1
09:00:00 08/12/2015,10.369,1
09:00:00 09/12/2015,10.358,1
09:00:00 10/12/2015,10.374,1
09:00:00 11/12/2015,10.374,1
09:00:00 12/12/2015,10.378,1
09:00:00 13/12/2015,10.401,1
09:00:00 14/12/2015,10.395,1
09:00:00 15/12/2015,10.394,1
09:00:00 16/12/2015,10.396,1
09:00:00 17/12/2015,10.502,1
09:00:00 18/12/2015,10.501,1
09:00:00 19/12/2015,10.507,1
09:00:00 20/12/2015,10.455,1
09:00:00 21/12/2015,10.293,1
09:00:00 22/12/2015,10.328,1
09:00:00 23/12/2015,10.361,1
09:00:00 24/12/2015,10.377,1
09:00:00 25/12/2015,10.397,1
09:00:00 26/12/2015,10.372,1
09:00:00 27/12/2015,10.325,1
09:00:00 28/12/2015,10.34,1
09:00:00 29/12/2015,10.346,1
09:00:00 30/12/2015,10.365,1
09:00:00 31/12/2015,10.373,1
09:00:00 01/01/2016,10.36,1
09:00:00 02/01/2016,10.349,1
09:00:00 03/01/2016,10.341,1
09:00:00 04/01/2016,10.363,1
09:00:00 05/01/2016,10.394,1
09:00:00 06/01/2016,10.451,1
09:00:00 07/01/2016,10.423,1
09:00:00 08/01/2016,10.396,1
09:00:00 09/01/2016,10.386,1
09:00:00 10/01/2016,10.368,1
09:00:00 11/01/2016,10.35,1
09:00:00 12/01/2016,10.354,1
09:00:00 13/01/2016,10.362,1
09:00:00 14/01/2016,10.367,1
09:00:00 15/01/2016,10.39,1
09:00:00 16/01/2016,10.491,1
09:00:00 17/01/2016,10.506,1
09:00:00 18/01/2016,10.518,1
09:00:00 19/01/2016,10.517,1
09:00:00 20/01/2016,10.505,1
09:00:00 21/01/2016,10.479,1
09:00:00 22/01/2016,10.487,1
09:00:00 23/01/2016,10.585,1
09:00:00 24/01/2016,10.613,1
09:00:00 25/01/2016,10.609,1
09:00:00 26/01/2016,10.558,1
09:00:00 27/01/2016,10.52,1
09:00:00 28/01/2016,10.486,1
09:00:00 29/01/2016,10.468,1
09:00:00 30/01/2016,10.524,1
09:00:00 31/01/2016,10.571,1
09:00:00 01/02/2016,10.58,1
09:00:00 02/02/2016,10.708,1
09:00:00 03/02/2016,10.696,1
09:00:00 04/02/2016,10.667,1
09:00:00 05/02/2016,10.643,1
09:00:00 06/02/2016,10.625,1
09:00:00 07/02/2016,10.605,1
09:00:00 08/02/2016,10.597,1
09:00:00 09/02/2016,10.635,1
09:00:00 10/02/2016,10.738,1
09:00:00 11/02/2016,10.772,1
09:00:00 12/02/2016,10.89,1
09:00:00 13/02/2016,10.916,1
09:00:00 14/02/2016,10.875,1
09:00:00 15/02/2016,10.859,1
09:00:00 16/02/2016,10.866,1
09:00:00 17/02/2016,10.876,1
09:00:00 18/02/2016,10.893,1
09:00:00 19/02/2016,10.909,1
09:00:00 20/02/2016,10.907,1
09:00:00 21/02/2016,10.898,1
09:00:00 22/02/2016,10.899,1
09:00:00 23/02/2016,10.903,1
09:00:00 24/02/2016,10.896,1
09:00:00 25/02/2016,10.899,1
09:00:00 26/02/2016,10.9,1
09:00:00 27/02/2016,10.908,1
09:00:00 28/02/2016,10.911,1
09:00:00 29/02/2016,10.911,1
09:00:00 01/03/2016,10.824,1
09:00:00 02/03/2016,10.82,1
09:00:00 03/03/2016,10.75,1
09:00:00 04/03/2016,10.725,1
09:00:00 05/03/2016,10.602,1
09:00:00 06/03/2016,10.566,1
09:00:00 07/03/2016,10.554,1
09:00:00 08/03/2016,10.512,1
09:00:00 09/03/2016,10.519,1
09:00:00 10/03/2016,10.494,1
09:00:00 11/03/2016,10.495,1
09:00:00 12/03/2016,10.489,1
09:00:00 13/03/2016,10.467,1
09:00:00 14/03/2016,10.469,1
09:00:00 15/03/2016,10.448,1
