"Time","A4261110",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 30/06/2014,       3.433,      1
09:00:00 01/07/2014,       3.433,      1
09:00:00 02/07/2014,       3.430,      1
09:00:00 03/07/2014,       3.422,      1
09:00:00 04/07/2014,       3.411,      1
09:00:00 05/07/2014,       3.408,      1
09:00:00 06/07/2014,       3.408,      1
09:00:00 07/07/2014,       3.414,      1
09:00:00 08/07/2014,       3.407,      1
09:00:00 09/07/2014,       3.409,      1
09:00:00 10/07/2014,       3.427,      1
09:00:00 11/07/2014,       3.448,      1
09:00:00 12/07/2014,       3.444,      1
09:00:00 13/07/2014,       3.450,      1
09:00:00 14/07/2014,       3.447,      1
09:00:00 15/07/2014,       3.428,      1
09:00:00 16/07/2014,       3.427,      1
09:00:00 17/07/2014,       3.394,      1
09:00:00 18/07/2014,       3.386,      1
09:00:00 19/07/2014,       3.377,      1
09:00:00 20/07/2014,       3.346,      1
09:00:00 21/07/2014,       3.323,      1
09:00:00 22/07/2014,       3.305,      1
09:00:00 23/07/2014,       3.298,      1
09:00:00 24/07/2014,       3.286,      1
09:00:00 25/07/2014,       3.260,      1
09:00:00 26/07/2014,       3.256,      1
09:00:00 27/07/2014,       3.288,      1
09:00:00 28/07/2014,       3.350,      1
09:00:00 29/07/2014,       3.394,      1
09:00:00 30/07/2014,       3.406,      1
09:00:00 31/07/2014,       3.414,      1
09:00:00 01/08/2014,       3.406,      1
09:00:00 02/08/2014,       3.428,      1
09:00:00 03/08/2014,       3.425,      1
09:00:00 04/08/2014,       3.413,      1
09:00:00 05/08/2014,       3.410,      1
09:00:00 06/08/2014,       3.421,      1
09:00:00 07/08/2014,       3.445,      1
09:00:00 08/08/2014,       3.496,      1
09:00:00 09/08/2014,       3.561,      1
09:00:00 10/08/2014,       3.603,      1
09:00:00 11/08/2014,       3.622,      1
09:00:00 12/08/2014,       3.630,      1
09:00:00 13/08/2014,       3.652,      1
09:00:00 14/08/2014,       3.687,      1
09:00:00 15/08/2014,       3.707,      1
09:00:00 16/08/2014,       3.715,      1
09:00:00 17/08/2014,       3.744,      1
09:00:00 18/08/2014,       3.754,      1
09:00:00 19/08/2014,       3.746,      1
09:00:00 20/08/2014,       3.739,      1
09:00:00 21/08/2014,       3.719,      1
09:00:00 22/08/2014,       3.671,      1
09:00:00 23/08/2014,       3.624,      1
09:00:00 24/08/2014,       3.611,      1
09:00:00 25/08/2014,       3.611,      1
09:00:00 26/08/2014,       3.612,      1
09:00:00 27/08/2014,       3.611,      1
09:00:00 28/08/2014,       3.600,      1
09:00:00 29/08/2014,       3.593,      1
09:00:00 30/08/2014,       3.596,      1
09:00:00 31/08/2014,       3.595,      1
09:00:00 01/09/2014,       3.592,      1
09:00:00 02/09/2014,       3.598,      1
09:00:00 03/09/2014,       3.589,      1
09:00:00 04/09/2014,       3.553,      1
09:00:00 05/09/2014,       3.550,      1
09:00:00 06/09/2014,       3.560,      1
09:00:00 07/09/2014,       3.562,      1
09:00:00 08/09/2014,       3.561,      1
09:00:00 09/09/2014,       3.545,      1
09:00:00 10/09/2014,       3.551,      1
09:00:00 11/09/2014,       3.551,      1
09:00:00 12/09/2014,       3.551,      1
09:00:00 13/09/2014,       3.537,      1
09:00:00 14/09/2014,       3.536,      1
09:00:00 15/09/2014,       3.547,      1
09:00:00 16/09/2014,       3.560,      1
09:00:00 17/09/2014,       3.567,      1
09:00:00 18/09/2014,       3.571,      1
09:00:00 19/09/2014,       3.570,      1
09:00:00 20/09/2014,       3.568,      1
09:00:00 21/09/2014,       3.567,      1
09:00:00 22/09/2014,       3.567,      1
09:00:00 23/09/2014,       3.563,      1
09:00:00 24/09/2014,       3.557,      1
09:00:00 25/09/2014,       3.574,      1
09:00:00 26/09/2014,       3.593,      1
09:00:00 27/09/2014,       3.598,      1
09:00:00 28/09/2014,       3.593,      1
09:00:00 29/09/2014,       3.571,      1
09:00:00 30/09/2014,       3.577,      1
09:00:00 01/10/2014,       3.576,      1
09:00:00 02/10/2014,       3.576,      1
09:00:00 03/10/2014,       3.570,      1
09:00:00 04/10/2014,       3.552,      1
09:00:00 05/10/2014,       3.554,      1
09:00:00 06/10/2014,       3.561,      1
09:00:00 07/10/2014,       3.557,      1
09:00:00 08/10/2014,       3.574,      1
09:00:00 09/10/2014,       3.581,      1
09:00:00 10/10/2014,       3.583,      1
09:00:00 11/10/2014,       3.597,      1
09:00:00 12/10/2014,       3.608,      1
09:00:00 13/10/2014,       3.608,      1
09:00:00 14/10/2014,       3.618,      1
09:00:00 15/10/2014,       3.611,      1
09:00:00 16/10/2014,       3.612,      1
09:00:00 17/10/2014,       3.637,      1
09:00:00 18/10/2014,       3.675,      1
09:00:00 19/10/2014,       3.684,      1
09:00:00 20/10/2014,       3.688,      1
09:00:00 21/10/2014,       3.686,      1
09:00:00 22/10/2014,       3.668,      1
09:00:00 23/10/2014,       3.680,      1
09:00:00 24/10/2014,       3.670,      1
09:00:00 25/10/2014,       3.669,      1
09:00:00 26/10/2014,       3.668,      1
09:00:00 27/10/2014,       3.663,      1
09:00:00 28/10/2014,       3.674,      1
09:00:00 29/10/2014,       3.690,      1
09:00:00 30/10/2014,       3.701,      1
09:00:00 31/10/2014,       3.725,      1
09:00:00 01/11/2014,       3.753,      1
09:00:00 02/11/2014,       3.801,      1
09:00:00 03/11/2014,       3.816,      1
09:00:00 04/11/2014,       3.807,      1
09:00:00 05/11/2014,       3.809,      1
09:00:00 06/11/2014,       3.804,      1
09:00:00 07/11/2014,       3.788,      1
09:00:00 08/11/2014,       3.775,      1
09:00:00 09/11/2014,       3.798,      1
09:00:00 10/11/2014,       3.805,      1
09:00:00 11/11/2014,       3.805,      1
09:00:00 12/11/2014,       3.771,      1
09:00:00 13/11/2014,       3.688,      1
09:00:00 14/11/2014,       3.597,      1
09:00:00 15/11/2014,       3.579,      1
09:00:00 16/11/2014,       3.530,      1
09:00:00 17/11/2014,       3.477,      1
09:00:00 18/11/2014,       3.427,      1
09:00:00 19/11/2014,       3.371,      1
09:00:00 20/11/2014,       3.299,      1
09:00:00 21/11/2014,       3.275,      1
09:00:00 22/11/2014,       3.291,      1
09:00:00 23/11/2014,       3.307,      1
09:00:00 24/11/2014,       3.283,      1
09:00:00 25/11/2014,       3.290,      1
09:00:00 26/11/2014,       3.283,      1
09:00:00 27/11/2014,       3.276,      1
09:00:00 28/11/2014,       3.274,      1
09:00:00 29/11/2014,       3.262,      1
09:00:00 30/11/2014,       3.237,      1
09:00:00 01/12/2014,       3.218,      1
09:00:00 02/12/2014,       3.236,      1
09:00:00 03/12/2014,       3.239,      1
09:00:00 04/12/2014,       3.237,      1
09:00:00 05/12/2014,       3.263,      1
09:00:00 06/12/2014,       3.272,      1
09:00:00 07/12/2014,       3.270,      1
09:00:00 08/12/2014,       3.252,      1
09:00:00 09/12/2014,       3.255,      1
09:00:00 10/12/2014,       3.241,      1
09:00:00 11/12/2014,       3.223,      1
09:00:00 12/12/2014,       3.208,      1
09:00:00 13/12/2014,"",    201
09:00:00 14/12/2014,"",    201
09:00:00 15/12/2014,       3.158,      1
09:00:00 16/12/2014,       3.165,      1
09:00:00 17/12/2014,       3.161,      1
09:00:00 18/12/2014,       3.159,      1
09:00:00 19/12/2014,       3.173,      1
09:00:00 20/12/2014,       3.250,      1
09:00:00 21/12/2014,       3.313,      1
09:00:00 22/12/2014,       3.318,      1
09:00:00 23/12/2014,       3.284,      1
09:00:00 24/12/2014,       3.262,      1
09:00:00 25/12/2014,       3.246,      1
09:00:00 26/12/2014,       3.228,      1
09:00:00 27/12/2014,       3.228,      1
09:00:00 28/12/2014,       3.213,      1
09:00:00 29/12/2014,       3.195,      1
09:00:00 30/12/2014,       3.195,      1
09:00:00 31/12/2014,       3.199,      1
09:00:00 01/01/2015,       3.196,      1
09:00:00 02/01/2015,       3.195,      1
09:00:00 03/01/2015,       3.170,      1
09:00:00 04/01/2015,       3.168,      1
09:00:00 05/01/2015,       3.188,      1
09:00:00 06/01/2015,       3.193,      1
09:00:00 07/01/2015,       3.181,      1
09:00:00 08/01/2015,       3.177,      1
09:00:00 09/01/2015,       3.193,      1
09:00:00 10/01/2015,       3.215,      1
09:00:00 11/01/2015,       3.251,      1
09:00:00 12/01/2015,       3.259,      1
09:00:00 13/01/2015,       3.256,      1
09:00:00 14/01/2015,       3.241,      1
09:00:00 15/01/2015,       3.230,      1
09:00:00 16/01/2015,       3.199,      1
09:00:00 17/01/2015,       3.181,      1
09:00:00 18/01/2015,       3.179,      1
09:00:00 19/01/2015,       3.187,      1
09:00:00 20/01/2015,       3.184,      1
09:00:00 21/01/2015,       3.187,      1
09:00:00 22/01/2015,       3.215,      1
09:00:00 23/01/2015,       3.223,      1
09:00:00 24/01/2015,       3.239,      1
09:00:00 25/01/2015,       3.232,      1
09:00:00 26/01/2015,       3.237,      1
09:00:00 27/01/2015,       3.242,      1
09:00:00 28/01/2015,       3.258,      1
09:00:00 29/01/2015,       3.255,      1
09:00:00 30/01/2015,       3.238,      1
09:00:00 31/01/2015,       3.228,      1
09:00:00 01/02/2015,       3.222,      1
09:00:00 02/02/2015,       3.222,      1
09:00:00 03/02/2015,       3.223,      1
09:00:00 04/02/2015,       3.234,      1
09:00:00 05/02/2015,       3.241,      1
09:00:00 06/02/2015,       3.234,      1
09:00:00 07/02/2015,       3.214,      1
09:00:00 08/02/2015,       3.206,      1
09:00:00 09/02/2015,       3.223,      1
09:00:00 10/02/2015,       3.217,      1
09:00:00 11/02/2015,       3.212,      1
09:00:00 12/02/2015,       3.220,      1
09:00:00 13/02/2015,       3.209,      1
09:00:00 14/02/2015,       3.200,      1
09:00:00 15/02/2015,       3.189,      1
09:00:00 16/02/2015,       3.196,      1
09:00:00 17/02/2015,       3.209,      1
09:00:00 18/02/2015,       3.217,      1
09:00:00 19/02/2015,       3.215,      1
09:00:00 20/02/2015,       3.205,      1
09:00:00 21/02/2015,       3.203,      1
09:00:00 22/02/2015,       3.193,      1
09:00:00 23/02/2015,       3.192,      1
09:00:00 24/02/2015,       3.225,      1
09:00:00 25/02/2015,       3.222,      1
09:00:00 26/02/2015,       3.203,      1
09:00:00 27/02/2015,       3.202,      1
09:00:00 28/02/2015,       3.197,      1
09:00:00 01/03/2015,       3.201,      1
09:00:00 02/03/2015,       3.209,      1
09:00:00 03/03/2015,       3.204,      1
09:00:00 04/03/2015,       3.210,      1
09:00:00 05/03/2015,       3.206,      1
09:00:00 06/03/2015,       3.212,      1
09:00:00 07/03/2015,       3.208,      1
09:00:00 08/03/2015,       3.198,      1
09:00:00 09/03/2015,       3.196,      1
09:00:00 10/03/2015,       3.203,      1
09:00:00 11/03/2015,       3.202,      1
09:00:00 12/03/2015,       3.210,      1
09:00:00 13/03/2015,       3.217,      1
09:00:00 14/03/2015,       3.203,    150
09:00:00 15/03/2015,       3.196,    150
09:00:00 16/03/2015,       3.196,    150
09:00:00 17/03/2015,       3.183,    150
