"Time","A4261065",
09:00:00 21/02/2016,"",    201
09:00:00 22/02/2016,"",    201
09:00:00 23/02/2016,"",    201
09:00:00 24/02/2016,"",    201
09:00:00 25/02/2016,"",    201
09:00:00 26/02/2016,"",    201
09:00:00 27/02/2016,"",    201
09:00:00 28/02/2016,"",    201
09:00:00 29/02/2016,"",    201
09:00:00 01/03/2016,"",    201
09:00:00 02/03/2016,"",    201
09:00:00 03/03/2016,"",    201
09:00:00 04/03/2016,"",    201
09:00:00 05/03/2016,"",    201
09:00:00 06/03/2016,"",    201
09:00:00 07/03/2016,"",    201
09:00:00 08/03/2016,"",    201
09:00:00 09/03/2016,"",    201
09:00:00 10/03/2016,"",    201
09:00:00 11/03/2016,"",    201
09:00:00 12/03/2016,"",    201
09:00:00 13/03/2016,"",    201
09:00:00 14/03/2016,"",    201
09:00:00 15/03/2016,"",    201
09:00:00 16/03/2016,"",    201
09:00:00 17/03/2016,"",    201
09:00:00 18/03/2016,"",    201
09:00:00 19/03/2016,"",    201
09:00:00 20/03/2016,"",    201
09:00:00 21/03/2016,"",    201
09:00:00 22/03/2016,"",    201
09:00:00 23/03/2016,"",    201
09:00:00 24/03/2016,"",    201
09:00:00 25/03/2016,"",    201
09:00:00 26/03/2016,"",    201
09:00:00 27/03/2016,"",    201
09:00:00 28/03/2016,"",    201
09:00:00 29/03/2016,"",    201
09:00:00 30/03/2016,"",    201
09:00:00 31/03/2016,"",    201
09:00:00 01/04/2016,"",    201
09:00:00 02/04/2016,"",    201
09:00:00 03/04/2016,"",    201
09:00:00 04/04/2016,"",    201
09:00:00 05/04/2016,"",    201
09:00:00 06/04/2016,"",    201
09:00:00 07/04/2016,"",    201
09:00:00 08/04/2016,"",    201
09:00:00 09/04/2016,"",    201
09:00:00 10/04/2016,"",    201
09:00:00 11/04/2016,"",    201
09:00:00 12/04/2016,"",    201
09:00:00 13/04/2016,"",    201
09:00:00 14/04/2016,"",    201
09:00:00 15/04/2016,"",    201
09:00:00 16/04/2016,"",    201
09:00:00 17/04/2016,"",    201
09:00:00 18/04/2016,"",    201
09:00:00 19/04/2016,"",    201
09:00:00 20/04/2016,"",    201
09:00:00 21/04/2016,"",    201
09:00:00 22/04/2016,"",    201
09:00:00 23/04/2016,"",    201
09:00:00 24/04/2016,"",    201
09:00:00 25/04/2016,"",    201
09:00:00 26/04/2016,"",    201
09:00:00 27/04/2016,"",    201
09:00:00 28/04/2016,"",    201
09:00:00 29/04/2016,"",    201
09:00:00 30/04/2016,"",    201
09:00:00 01/05/2016,"",    201
09:00:00 02/05/2016,"",    201
09:00:00 03/05/2016,"",    201
09:00:00 04/05/2016,"",    201
09:00:00 05/05/2016,"",    201
09:00:00 06/05/2016,"",    201
09:00:00 07/05/2016,"",    201
09:00:00 08/05/2016,"",    201
09:00:00 09/05/2016,"",    201
09:00:00 10/05/2016,"",    201
09:00:00 11/05/2016,"",    201
09:00:00 12/05/2016,"",    201
09:00:00 13/05/2016,"",    201
09:00:00 14/05/2016,"",    201
09:00:00 15/05/2016,"",    201
09:00:00 16/05/2016,"",    201
09:00:00 17/05/2016,"",    201
09:00:00 18/05/2016,"",    201
09:00:00 19/05/2016,"",    201
09:00:00 20/05/2016,"",    201
09:00:00 21/05/2016,"",    201
09:00:00 22/05/2016,"",    201
09:00:00 23/05/2016,"",    201
09:00:00 24/05/2016,"",    201
09:00:00 25/05/2016,"",    201
09:00:00 26/05/2016,"",    201
09:00:00 27/05/2016,"",    201
09:00:00 28/05/2016,"",    201
09:00:00 29/05/2016,"",    201
09:00:00 30/05/2016,"",    201
09:00:00 31/05/2016,"",    201
09:00:00 01/06/2016,"",    201
09:00:00 02/06/2016,"",    201
09:00:00 03/06/2016,"",    201
09:00:00 04/06/2016,"",    201
09:00:00 05/06/2016,"",    201
09:00:00 06/06/2016,"",    201
09:00:00 07/06/2016,"",    201
09:00:00 08/06/2016,"",    201
09:00:00 09/06/2016,"",    201
09:00:00 10/06/2016,"",    201
09:00:00 11/06/2016,      10.050,    150
09:00:00 12/06/2016,      10.039,    150
09:00:00 13/06/2016,      10.032,    150
09:00:00 14/06/2016,      10.033,    150
09:00:00 15/06/2016,      10.029,    150
09:00:00 16/06/2016,      10.028,    150
09:00:00 17/06/2016,      10.035,    150
09:00:00 18/06/2016,      10.032,    150
09:00:00 19/06/2016,      10.029,    150
09:00:00 20/06/2016,      10.034,    150
09:00:00 21/06/2016,      10.035,    150
09:00:00 22/06/2016,      10.045,    150
09:00:00 23/06/2016,      10.042,    150
09:00:00 24/06/2016,      10.037,    150
09:00:00 25/06/2016,      10.043,    150
09:00:00 26/06/2016,      10.034,    150
09:00:00 27/06/2016,      10.032,    150
09:00:00 28/06/2016,      10.028,    150
09:00:00 29/06/2016,      10.029,    150
09:00:00 30/06/2016,      10.032,    150
09:00:00 01/07/2016,      10.038,    150
09:00:00 02/07/2016,      10.051,    150
09:00:00 03/07/2016,      10.070,    150
09:00:00 04/07/2016,      10.074,    150
09:00:00 05/07/2016,      10.083,    150
09:00:00 06/07/2016,      10.094,    150
09:00:00 07/07/2016,      10.125,    150
09:00:00 08/07/2016,"",    255
09:00:00 09/07/2016,"",    255
