"Time","A4260903",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/06/2015,       0.660,      1
09:00:00 02/06/2015,       0.610,      1
09:00:00 03/06/2015,       0.601,      1
09:00:00 04/06/2015,       0.562,      1
09:00:00 05/06/2015,       0.651,      1
09:00:00 06/06/2015,       0.630,      1
09:00:00 07/06/2015,       0.554,      1
09:00:00 08/06/2015,       0.567,      1
09:00:00 09/06/2015,       0.613,      1
09:00:00 10/06/2015,       0.676,      1
09:00:00 11/06/2015,       0.629,      1
09:00:00 12/06/2015,       0.621,      1
09:00:00 13/06/2015,       0.591,      1
09:00:00 14/06/2015,       0.590,      1
09:00:00 15/06/2015,       0.601,      1
09:00:00 16/06/2015,       0.620,      1
09:00:00 17/06/2015,       0.634,      1
09:00:00 18/06/2015,       0.676,      1
09:00:00 19/06/2015,       0.722,      1
09:00:00 20/06/2015,       0.656,      1
09:00:00 21/06/2015,       0.631,      1
09:00:00 22/06/2015,       0.538,      1
09:00:00 23/06/2015,       0.477,      1
09:00:00 24/06/2015,       0.613,      1
09:00:00 25/06/2015,       0.702,      1
09:00:00 26/06/2015,       0.649,      1
09:00:00 27/06/2015,       0.618,      1
09:00:00 28/06/2015,       0.635,      1
09:00:00 29/06/2015,       0.626,      1
09:00:00 30/06/2015,       0.637,      1
09:00:00 01/07/2015,       0.645,      1
09:00:00 02/07/2015,       0.631,      1
09:00:00 03/07/2015,       0.698,      1
09:00:00 04/07/2015,       0.700,      1
09:00:00 05/07/2015,       0.730,      1
09:00:00 06/07/2015,       0.725,      1
09:00:00 07/07/2015,       0.756,      1
09:00:00 08/07/2015,       0.766,      1
09:00:00 09/07/2015,       0.765,      1
09:00:00 10/07/2015,       0.747,      1
09:00:00 11/07/2015,       0.769,      1
09:00:00 12/07/2015,       0.953,      1
09:00:00 13/07/2015,       1.117,      1
09:00:00 14/07/2015,       0.934,      1
09:00:00 15/07/2015,       0.950,      1
09:00:00 16/07/2015,       0.958,      1
09:00:00 17/07/2015,       0.943,      1
09:00:00 18/07/2015,       0.929,      1
09:00:00 19/07/2015,       0.883,      1
09:00:00 20/07/2015,       0.858,      1
09:00:00 21/07/2015,       0.806,      1
09:00:00 22/07/2015,       0.736,      1
09:00:00 23/07/2015,       0.804,      1
09:00:00 24/07/2015,       0.777,      1
09:00:00 25/07/2015,       0.786,      1
09:00:00 26/07/2015,       0.774,      1
09:00:00 27/07/2015,       0.917,      1
09:00:00 28/07/2015,       0.802,      1
09:00:00 29/07/2015,       0.766,      1
09:00:00 30/07/2015,       0.711,      1
09:00:00 31/07/2015,       0.749,      1
09:00:00 01/08/2015,       0.748,      1
09:00:00 02/08/2015,       0.830,      1
09:00:00 03/08/2015,       0.860,      1
09:00:00 04/08/2015,       0.909,      1
09:00:00 05/08/2015,       0.867,      1
09:00:00 06/08/2015,       0.949,      1
09:00:00 07/08/2015,       0.882,      1
09:00:00 08/08/2015,       0.829,      1
09:00:00 09/08/2015,       0.775,      1
09:00:00 10/08/2015,       0.706,      1
09:00:00 11/08/2015,       0.810,      1
09:00:00 12/08/2015,       0.717,      1
09:00:00 13/08/2015,       0.915,      1
09:00:00 14/08/2015,       0.805,      1
09:00:00 15/08/2015,       0.792,      1
09:00:00 16/08/2015,       0.803,      1
09:00:00 17/08/2015,       0.809,      1
09:00:00 18/08/2015,       0.876,      1
09:00:00 19/08/2015,       0.797,      1
09:00:00 20/08/2015,       0.748,      1
09:00:00 21/08/2015,       0.707,      1
09:00:00 22/08/2015,       0.786,      1
09:00:00 23/08/2015,       0.795,      1
09:00:00 24/08/2015,       0.855,      1
09:00:00 25/08/2015,       0.928,      1
09:00:00 26/08/2015,       0.880,      1
09:00:00 27/08/2015,       0.808,      1
09:00:00 28/08/2015,       0.844,      1
09:00:00 29/08/2015,       0.806,      1
09:00:00 30/08/2015,       0.789,      1
09:00:00 31/08/2015,       0.763,      1
09:00:00 01/09/2015,       0.760,      1
09:00:00 02/09/2015,       0.721,      1
09:00:00 03/09/2015,       0.783,      1
09:00:00 04/09/2015,       0.959,      1
09:00:00 05/09/2015,       0.873,      1
09:00:00 06/09/2015,       0.835,      1
09:00:00 07/09/2015,       0.908,      1
09:00:00 08/09/2015,       0.915,      1
09:00:00 09/09/2015,       0.934,      1
09:00:00 10/09/2015,       0.885,      1
09:00:00 11/09/2015,       0.802,      1
09:00:00 12/09/2015,       0.766,      1
09:00:00 13/09/2015,       0.791,      1
09:00:00 14/09/2015,       0.747,      1
09:00:00 15/09/2015,       0.854,      1
09:00:00 16/09/2015,       0.854,      1
09:00:00 17/09/2015,       0.812,      1
09:00:00 18/09/2015,       0.895,      1
09:00:00 19/09/2015,       0.865,      1
09:00:00 20/09/2015,       0.840,      1
09:00:00 21/09/2015,       0.874,      1
09:00:00 22/09/2015,       1.037,      1
09:00:00 23/09/2015,       0.998,      1
09:00:00 24/09/2015,       0.988,      1
09:00:00 25/09/2015,       0.956,      1
09:00:00 26/09/2015,       0.918,      1
09:00:00 27/09/2015,       0.880,      1
09:00:00 28/09/2015,       0.884,      1
09:00:00 29/09/2015,       0.957,      1
09:00:00 30/09/2015,       0.931,      1
09:00:00 01/10/2015,       0.884,      1
09:00:00 02/10/2015,       0.918,      1
09:00:00 03/10/2015,       0.851,      1
09:00:00 04/10/2015,       0.837,      1
09:00:00 05/10/2015,       0.890,      1
09:00:00 06/10/2015,       0.816,      1
09:00:00 07/10/2015,       1.019,      1
09:00:00 08/10/2015,       0.946,      1
09:00:00 09/10/2015,       0.885,      1
09:00:00 10/10/2015,       0.885,      1
09:00:00 11/10/2015,       0.924,      1
09:00:00 12/10/2015,       1.002,      1
09:00:00 13/10/2015,       0.995,      1
09:00:00 14/10/2015,       0.963,      1
09:00:00 15/10/2015,       0.878,      1
09:00:00 16/10/2015,       0.883,      1
09:00:00 17/10/2015,       0.951,      1
09:00:00 18/10/2015,       0.972,      1
09:00:00 19/10/2015,       0.903,      1
09:00:00 20/10/2015,       0.874,      1
09:00:00 21/10/2015,       0.912,      1
09:00:00 22/10/2015,       1.070,      1
09:00:00 23/10/2015,       1.018,      1
09:00:00 24/10/2015,       0.944,      1
09:00:00 25/10/2015,       0.882,      1
09:00:00 26/10/2015,       1.020,      1
09:00:00 27/10/2015,       1.079,      1
09:00:00 28/10/2015,       0.963,      1
09:00:00 29/10/2015,       0.967,      1
09:00:00 30/10/2015,       0.952,      1
09:00:00 31/10/2015,       0.926,      1
09:00:00 01/11/2015,       0.921,      1
09:00:00 02/11/2015,       0.949,      1
09:00:00 03/11/2015,       0.934,      1
09:00:00 04/11/2015,       0.867,      1
09:00:00 05/11/2015,       0.913,      1
09:00:00 06/11/2015,       1.070,      1
09:00:00 07/11/2015,       1.049,      1
09:00:00 08/11/2015,       0.957,      1
09:00:00 09/11/2015,       0.907,      1
09:00:00 10/11/2015,       0.941,      1
09:00:00 11/11/2015,       0.996,      1
09:00:00 12/11/2015,       0.904,      1
09:00:00 13/11/2015,       0.998,      1
09:00:00 14/11/2015,       1.006,      1
09:00:00 15/11/2015,       0.950,      1
09:00:00 16/11/2015,       0.911,      1
09:00:00 17/11/2015,       0.799,      1
09:00:00 18/11/2015,       0.810,      1
09:00:00 19/11/2015,       0.802,      1
09:00:00 20/11/2015,       0.895,      1
09:00:00 21/11/2015,       0.946,      1
09:00:00 22/11/2015,       0.907,      1
09:00:00 23/11/2015,       0.860,      1
09:00:00 24/11/2015,       0.850,      1
09:00:00 25/11/2015,       0.739,      1
09:00:00 26/11/2015,       0.791,      1
09:00:00 27/11/2015,       0.967,      1
09:00:00 28/11/2015,       0.788,      1
09:00:00 29/11/2015,       0.762,      1
09:00:00 30/11/2015,       0.732,      1
09:00:00 01/12/2015,       0.756,      1
09:00:00 02/12/2015,       0.889,      1
09:00:00 03/12/2015,       0.781,      1
09:00:00 04/12/2015,       0.698,      1
09:00:00 05/12/2015,       0.687,      1
09:00:00 06/12/2015,       0.684,      1
09:00:00 07/12/2015,       0.714,      1
09:00:00 08/12/2015,       0.691,      1
09:00:00 09/12/2015,       0.789,      1
09:00:00 10/12/2015,       0.740,      1
09:00:00 11/12/2015,       0.732,      1
09:00:00 12/12/2015,       0.858,      1
09:00:00 13/12/2015,       0.681,      1
09:00:00 14/12/2015,       0.673,      1
09:00:00 15/12/2015,       0.719,      1
09:00:00 16/12/2015,       0.674,      1
09:00:00 17/12/2015,       0.695,      1
09:00:00 18/12/2015,       0.668,      1
09:00:00 19/12/2015,       0.723,      1
09:00:00 20/12/2015,       0.612,      1
09:00:00 21/12/2015,       0.828,      1
09:00:00 22/12/2015,       0.698,      1
09:00:00 23/12/2015,       0.723,      1
09:00:00 24/12/2015,       0.705,      1
09:00:00 25/12/2015,       0.572,      1
09:00:00 26/12/2015,       0.667,      1
09:00:00 27/12/2015,       0.835,      1
09:00:00 28/12/2015,       0.697,      1
09:00:00 29/12/2015,       0.674,      1
09:00:00 30/12/2015,       0.619,      1
09:00:00 31/12/2015,       0.552,      1
09:00:00 01/01/2016,       0.621,      1
09:00:00 02/01/2016,       0.804,      1
09:00:00 03/01/2016,       0.766,      1
09:00:00 04/01/2016,       0.736,      1
09:00:00 05/01/2016,       0.658,      1
09:00:00 06/01/2016,       0.666,      1
09:00:00 07/01/2016,       0.753,      1
09:00:00 08/01/2016,       0.728,      1
09:00:00 09/01/2016,       0.652,      1
09:00:00 10/01/2016,       0.615,      1
09:00:00 11/01/2016,       0.537,      1
09:00:00 12/01/2016,       0.610,      1
09:00:00 13/01/2016,       0.567,      1
09:00:00 14/01/2016,       0.643,      1
09:00:00 15/01/2016,       0.750,      1
09:00:00 16/01/2016,       0.656,      1
09:00:00 17/01/2016,       0.598,      1
09:00:00 18/01/2016,       0.530,      1
09:00:00 19/01/2016,       0.602,      1
09:00:00 20/01/2016,       0.514,      1
09:00:00 21/01/2016,       0.635,    150
09:00:00 22/01/2016,       0.552,    150
09:00:00 23/01/2016,       0.653,    150
09:00:00 24/01/2016,       0.692,    150
09:00:00 25/01/2016,       0.683,    150
09:00:00 26/01/2016,       0.696,    150
09:00:00 27/01/2016,       0.638,    150
09:00:00 28/01/2016,       0.705,    150
09:00:00 29/01/2016,       0.715,    150
09:00:00 30/01/2016,       0.614,    150
09:00:00 31/01/2016,       0.668,    150
09:00:00 01/02/2016,       0.689,    150
09:00:00 02/02/2016,       0.590,    150
09:00:00 03/02/2016,       0.684,    150
09:00:00 04/02/2016,       0.866,    150
09:00:00 05/02/2016,       0.838,    150
09:00:00 06/02/2016,       0.760,    150
09:00:00 07/02/2016,       0.733,    150
09:00:00 08/02/2016,       0.783,    150
09:00:00 09/02/2016,       0.760,    150
09:00:00 10/02/2016,       0.687,    150
09:00:00 11/02/2016,       0.742,    150
09:00:00 12/02/2016,       0.757,    150
09:00:00 13/02/2016,       0.687,    150
09:00:00 14/02/2016,       0.747,    150
09:00:00 15/02/2016,       0.739,    150
