"Time","A4261091",
"and","Level (m)",
"Date","Mean","Qual"
09:00:00 01/06/2015,      16.296,      1
09:00:00 02/06/2015,      16.294,      1
09:00:00 03/06/2015,      16.289,      1
09:00:00 04/06/2015,      16.282,      1
09:00:00 05/06/2015,      16.270,      1
09:00:00 06/06/2015,      16.267,      1
09:00:00 07/06/2015,      16.272,      1
09:00:00 08/06/2015,      16.284,      1
09:00:00 09/06/2015,      16.294,      1
09:00:00 10/06/2015,      16.300,      1
09:00:00 11/06/2015,      16.293,      1
09:00:00 12/06/2015,      16.289,      1
09:00:00 13/06/2015,      16.289,      1
09:00:00 14/06/2015,      16.293,      1
09:00:00 15/06/2015,      16.302,      1
09:00:00 16/06/2015,      16.317,      1
09:00:00 17/06/2015,      16.302,      1
09:00:00 18/06/2015,      16.295,      1
09:00:00 19/06/2015,      16.294,      1
09:00:00 20/06/2015,      16.293,      1
09:00:00 21/06/2015,      16.292,      1
09:00:00 22/06/2015,      16.288,      1
09:00:00 23/06/2015,      16.288,      1
09:00:00 24/06/2015,      16.295,      1
09:00:00 25/06/2015,      16.298,      1
09:00:00 26/06/2015,      16.298,      1
09:00:00 27/06/2015,      16.296,      1
09:00:00 28/06/2015,      16.299,      1
09:00:00 29/06/2015,      16.300,      1
09:00:00 30/06/2015,      16.299,      1
09:00:00 01/07/2015,      16.329,      1
09:00:00 02/07/2015,      16.364,      1
09:00:00 03/07/2015,      16.379,      1
09:00:00 04/07/2015,      16.353,      1
09:00:00 05/07/2015,      16.349,      1
09:00:00 06/07/2015,      16.366,      1
09:00:00 07/07/2015,      16.419,      1
09:00:00 08/07/2015,      16.443,      1
09:00:00 09/07/2015,      16.465,      1
09:00:00 10/07/2015,      16.485,      1
09:00:00 11/07/2015,      16.487,      1
09:00:00 12/07/2015,      16.487,      1
09:00:00 13/07/2015,      16.492,      1
09:00:00 14/07/2015,      16.490,      1
09:00:00 15/07/2015,      16.485,      1
09:00:00 16/07/2015,      16.467,      1
09:00:00 17/07/2015,      16.438,      1
09:00:00 18/07/2015,      16.404,      1
09:00:00 19/07/2015,      16.392,      1
09:00:00 20/07/2015,      16.392,      1
09:00:00 21/07/2015,      16.397,      1
09:00:00 22/07/2015,      16.394,      1
09:00:00 23/07/2015,      16.382,      1
09:00:00 24/07/2015,      16.356,      1
09:00:00 25/07/2015,      16.357,      1
09:00:00 26/07/2015,      16.363,      1
09:00:00 27/07/2015,      16.365,      1
09:00:00 28/07/2015,      16.363,      1
09:00:00 29/07/2015,      16.361,      1
09:00:00 30/07/2015,      16.359,      1
09:00:00 31/07/2015,      16.398,      1
09:00:00 01/08/2015,      16.402,      1
09:00:00 02/08/2015,      16.411,      1
09:00:00 03/08/2015,      16.409,      1
09:00:00 04/08/2015,      16.397,      1
09:00:00 05/08/2015,      16.382,      1
09:00:00 06/08/2015,      16.392,      1
09:00:00 07/08/2015,      16.401,      1
09:00:00 08/08/2015,      16.402,      1
09:00:00 09/08/2015,      16.393,      1
09:00:00 10/08/2015,      16.371,      1
09:00:00 11/08/2015,      16.375,      1
09:00:00 12/08/2015,      16.355,      1
09:00:00 13/08/2015,      16.366,      1
09:00:00 14/08/2015,      16.393,    150
09:00:00 15/08/2015,      16.404,    150
09:00:00 16/08/2015,      16.410,    150
09:00:00 17/08/2015,      16.414,    150
09:00:00 18/08/2015,      16.418,    150
09:00:00 19/08/2015,      16.389,    150
09:00:00 20/08/2015,      16.375,    150
09:00:00 21/08/2015,      16.345,    150
09:00:00 22/08/2015,      16.346,    150
09:00:00 23/08/2015,      16.346,    150
09:00:00 24/08/2015,      16.350,    150
09:00:00 25/08/2015,      16.357,    150
09:00:00 26/08/2015,      16.350,    150
09:00:00 27/08/2015,      16.349,    150
09:00:00 28/08/2015,      16.352,    150
09:00:00 29/08/2015,      16.364,    150
09:00:00 30/08/2015,      16.377,    150
09:00:00 31/08/2015,      16.379,    150
09:00:00 01/09/2015,      16.403,    150
09:00:00 02/09/2015,      16.444,    150
09:00:00 03/09/2015,      16.506,    150
09:00:00 04/09/2015,      16.522,    150
09:00:00 05/09/2015,      16.517,    150
09:00:00 06/09/2015,      16.524,    150
09:00:00 07/09/2015,      16.520,    150
09:00:00 08/09/2015,      16.513,    150
09:00:00 09/09/2015,      16.516,    150
09:00:00 10/09/2015,      16.520,    150
09:00:00 11/09/2015,      16.513,    150
09:00:00 12/09/2015,      16.493,    150
09:00:00 13/09/2015,      16.490,    150
09:00:00 14/09/2015,      16.493,    150
09:00:00 15/09/2015,      16.502,    150
09:00:00 16/09/2015,      16.510,    150
09:00:00 17/09/2015,      16.553,    150
09:00:00 18/09/2015,      16.613,    150
09:00:00 19/09/2015,      16.655,    150
09:00:00 20/09/2015,      16.678,    150
09:00:00 21/09/2015,      16.692,    150
09:00:00 22/09/2015,      16.709,    150
09:00:00 23/09/2015,      16.712,    150
09:00:00 24/09/2015,      16.740,    150
09:00:00 25/09/2015,      16.769,    150
09:00:00 26/09/2015,      16.779,    150
09:00:00 27/09/2015,      16.784,    150
09:00:00 28/09/2015,      16.786,    150
09:00:00 29/09/2015,      16.792,    150
09:00:00 30/09/2015,      16.802,    150
09:00:00 01/10/2015,      16.823,    150
09:00:00 02/10/2015,      16.863,    150
09:00:00 03/10/2015,      16.886,    150
09:00:00 04/10/2015,      16.896,    150
09:00:00 05/10/2015,      16.899,    150
09:00:00 06/10/2015,      16.896,    150
09:00:00 07/10/2015,      16.909,    150
09:00:00 08/10/2015,      16.923,    150
09:00:00 09/10/2015,      17.016,    150
09:00:00 10/10/2015,      17.310,    150
09:00:00 11/10/2015,      17.432,    150
09:00:00 12/10/2015,      17.434,    150
09:00:00 13/10/2015,      17.538,    150
09:00:00 14/10/2015,      17.574,    150
09:00:00 15/10/2015,      17.679,    150
09:00:00 16/10/2015,      17.728,    150
09:00:00 17/10/2015,      17.736,    150
09:00:00 18/10/2015,      17.732,    150
09:00:00 19/10/2015,      17.728,    150
09:00:00 20/10/2015,      17.757,    150
09:00:00 21/10/2015,      17.827,    150
09:00:00 22/10/2015,      17.864,    150
09:00:00 23/10/2015,      17.866,    150
09:00:00 24/10/2015,      17.868,    150
09:00:00 25/10/2015,      17.876,    150
09:00:00 26/10/2015,      17.876,    150
09:00:00 27/10/2015,      17.882,    150
09:00:00 28/10/2015,      17.879,    150
09:00:00 29/10/2015,      17.836,    150
09:00:00 30/10/2015,      17.787,    150
09:00:00 31/10/2015,      17.768,    150
09:00:00 01/11/2015,      17.756,    150
09:00:00 02/11/2015,      17.745,    150
09:00:00 03/11/2015,      17.704,    150
09:00:00 04/11/2015,      17.671,    150
09:00:00 05/11/2015,      17.667,    150
09:00:00 06/11/2015,      17.657,    150
09:00:00 07/11/2015,      17.651,    150
09:00:00 08/11/2015,      17.653,    150
09:00:00 09/11/2015,      17.654,    150
09:00:00 10/11/2015,      17.722,    150
09:00:00 11/11/2015,      17.843,    150
09:00:00 12/11/2015,      17.909,    150
09:00:00 13/11/2015,      17.915,    150
09:00:00 14/11/2015,      17.920,    150
09:00:00 15/11/2015,      17.922,    150
09:00:00 16/11/2015,      17.917,    150
09:00:00 17/11/2015,      17.836,    150
09:00:00 18/11/2015,      17.762,    150
09:00:00 19/11/2015,      17.700,    150
09:00:00 20/11/2015,      17.690,    150
09:00:00 21/11/2015,      17.627,    150
09:00:00 22/11/2015,      17.613,    150
09:00:00 23/11/2015,      17.612,    150
09:00:00 24/11/2015,      17.559,    150
09:00:00 25/11/2015,      17.493,    150
09:00:00 26/11/2015,      17.422,    150
09:00:00 27/11/2015,      17.317,    150
09:00:00 28/11/2015,      17.255,    150
09:00:00 29/11/2015,      17.253,    150
09:00:00 30/11/2015,      17.257,    150
09:00:00 01/12/2015,      17.186,    150
09:00:00 02/12/2015,      17.127,    150
09:00:00 03/12/2015,      17.117,    150
09:00:00 04/12/2015,      17.062,    150
09:00:00 05/12/2015,      16.961,    150
09:00:00 06/12/2015,      16.939,    150
09:00:00 07/12/2015,      16.929,    150
09:00:00 08/12/2015,      16.872,    150
09:00:00 09/12/2015,      16.810,    150
09:00:00 10/12/2015,      16.738,    150
09:00:00 11/12/2015,      16.672,    150
09:00:00 12/12/2015,      16.624,    150
09:00:00 13/12/2015,      16.598,    150
09:00:00 14/12/2015,      16.594,    150
09:00:00 15/12/2015,      16.556,    150
09:00:00 16/12/2015,      16.519,    150
09:00:00 17/12/2015,      16.485,    150
09:00:00 18/12/2015,      16.444,    150
09:00:00 19/12/2015,      16.397,    150
09:00:00 20/12/2015,      16.372,    150
09:00:00 21/12/2015,      16.389,    150
09:00:00 22/12/2015,      16.409,    150
09:00:00 23/12/2015,      16.415,    150
09:00:00 24/12/2015,      16.413,    150
09:00:00 25/12/2015,      16.394,    150
09:00:00 26/12/2015,      16.394,    150
09:00:00 27/12/2015,      16.406,    150
09:00:00 28/12/2015,      16.401,    150
09:00:00 29/12/2015,      16.408,    150
09:00:00 30/12/2015,      16.408,    150
09:00:00 31/12/2015,      16.404,    150
09:00:00 01/01/2016,      16.403,    150
09:00:00 02/01/2016,      16.408,    150
09:00:00 03/01/2016,      16.410,    150
09:00:00 04/01/2016,      16.413,    150
09:00:00 05/01/2016,      16.420,    150
09:00:00 06/01/2016,      16.410,    150
09:00:00 07/01/2016,      16.404,    150
09:00:00 08/01/2016,      16.403,    150
09:00:00 09/01/2016,      16.387,    150
09:00:00 10/01/2016,      16.378,    150
09:00:00 11/01/2016,      16.382,    150
09:00:00 12/01/2016,      16.390,    150
09:00:00 13/01/2016,      16.392,    150
09:00:00 14/01/2016,      16.404,    150
09:00:00 15/01/2016,      16.422,    150
09:00:00 16/01/2016,      16.415,    150
09:00:00 17/01/2016,      16.416,    150
09:00:00 18/01/2016,      16.416,    150
09:00:00 19/01/2016,      16.411,    150
09:00:00 20/01/2016,      16.401,    150
09:00:00 21/01/2016,      16.400,    150
09:00:00 22/01/2016,      16.405,    150
09:00:00 23/01/2016,      16.438,    150
09:00:00 24/01/2016,      16.443,    150
09:00:00 25/01/2016,      16.428,    150
09:00:00 26/01/2016,      16.417,    150
09:00:00 27/01/2016,      16.412,    150
09:00:00 28/01/2016,      16.415,    150
09:00:00 29/01/2016,      16.419,    150
09:00:00 30/01/2016,      16.429,    150
09:00:00 31/01/2016,      16.444,    150
09:00:00 01/02/2016,      16.436,    150
09:00:00 02/02/2016,      16.443,    150
09:00:00 03/02/2016,      16.434,    150
09:00:00 04/02/2016,      16.430,    150
09:00:00 05/02/2016,      16.415,    150
09:00:00 06/02/2016,      16.407,    150
09:00:00 07/02/2016,      16.409,    150
09:00:00 08/02/2016,      16.414,    150
09:00:00 09/02/2016,      16.435,    150
09:00:00 10/02/2016,      16.459,    150
09:00:00 11/02/2016,      16.487,    150
09:00:00 12/02/2016,      16.507,    150
09:00:00 13/02/2016,      16.487,    150
09:00:00 14/02/2016,      16.483,    150
09:00:00 15/02/2016,      16.481,    150
